year,18 to 21,22 to 29,30 to 39,40 to 49,50 to 59,over 60
1997,6,5.8,11,24,21.6,14.7
1998,6.7,5.6,10.6,24.8,21.6,17.3
1999,7.5,5.8,9.9,23.5,21.7,14.5
2000,5.7,5.2,10.2,22.9,21,13.2
2001,4.7,4.9,9.4,23.3,21,12.8
2002,5.3,3.2,8.8,22.3,21.9,14
2003,3.4,1.7,9.5,21.8,20.2,10.6
2004,3.5,0.5,8.9,20.9,19.8,7.3
2005,2.2,-0.5,8.3,19.9,16.6,7.5
2006,2.1,0.3,7.1,18.7,16.6,7.9
2007,1.5,0.2,6.3,19.1,17.6,8
2008,3,0,6.7,19.5,17.9,9.9
2009,2.1,0.5,6.1,18.3,17.2,9
2010,2.1,-1.8,2.7,16.1,16.8,9.1
2011,4.3,-2.4,2.5,16.9,17.4,11.1
2012,5.7,-3,0.7,15.4,18.3,9.5
2013,1.7,-0.7,1,15.7,17.4,12
2014,4.9,-0.8,-0.2,13.7,18,14
2015,4,-0.8,0.6,12.4,17.4,13.3
2016,3.3,0.8,1.6,13.4,16.5,13.8
2017,2.9,2.2,2.1,13.7,16.2,12.9
2018,1.8,1.1,0.9,12.8,15.6,15.6
2019,1,2,1.8,11.4,16.4,15.7
2020,-1.7,0.6,1,10.7,11.8,12.1
2021,1,0.9,3,12.3,12.3,11.9
