DATE,WFRBLB50107
1990-01-01,767914.750000000000
1991-01-01,860901.750000000000
1992-01-01,965140.000000000000
1993-01-01,962006.000000000000
1994-01-01,920244.500000000000
1995-01-01,1011110.250000000000
1996-01-01,1056779.000000000000
1997-01-01,1126769.500000000000
1998-01-01,1241843.000000000000
1999-01-01,1314109.750000000000
2000-01-01,1409508.500000000000
2001-01-01,1326085.500000000000
2002-01-01,1234433.250000000000
2003-01-01,1170490.750000000000
2004-01-01,1266910.250000000000
2005-01-01,1327579.500000000000
2006-01-01,1375565.500000000000
2007-01-01,1276361.500000000000
2008-01-01,824504.750000000000
2009-01-01,508222.750000000000
2010-01-01,299008.000000000000
2011-01-01,272008.500000000000
2012-01-01,442482.500000000000
2013-01-01,580975.000000000000
2014-01-01,735201.250000000000
2015-01-01,863735.000000000000
2016-01-01,1046854.250000000000
2017-01-01,1295715.500000000000
2018-01-01,1543345.000000000000
2019-01-01,1787944.500000000000
2020-01-01,2055705.250000000000
2021-01-01,.
