DATE,WFRBST01134
1995-01-01,27.9500000000000000
1995-07-01,28.4000000000000000
1996-01-01,28.4000000000000000
1996-07-01,28.3000000000000000
1997-01-01,28.1500000000000000
1997-07-01,28.3500000000000000
1998-01-01,28.6000000000000000
1998-07-01,28.0000000000000000
1999-01-01,28.0000000000000000
1999-07-01,28.0500000000000000
2000-01-01,28.4000000000000000
2000-07-01,27.5000000000000000
2001-01-01,26.6000000000000000
2001-07-01,25.9500000000000000
2002-01-01,26.1000000000000000
2002-07-01,25.2500000000000000
2003-01-01,25.4000000000000000
2003-07-01,26.3000000000000000
2004-01-01,27.1500000000000000
2004-07-01,27.5500000000000000
2005-01-01,27.8500000000000000
2005-07-01,28.1500000000000000
2006-01-01,28.7500000000000000
2006-07-01,28.9000000000000000
2007-01-01,29.4000000000000000
2007-07-01,29.3500000000000000
2008-01-01,29.0000000000000000
2008-07-01,27.8500000000000000
2009-01-01,27.0500000000000000
2009-07-01,27.8000000000000000
2010-01-01,28.1500000000000000
2010-07-01,28.4000000000000000
2011-01-01,29.2000000000000000
2011-07-01,28.9000000000000000
2012-01-01,29.4500000000000000
2012-07-01,29.6500000000000000
2013-01-01,30.0000000000000000
2013-07-01,29.9000000000000000
2014-01-01,30.4500000000000000
2014-07-01,30.6500000000000000
2015-01-01,31.0000000000000000
2015-07-01,30.8500000000000000
2016-01-01,31.1000000000000000
2016-07-01,30.9500000000000000
2017-01-01,30.9500000000000000
2017-07-01,30.9500000000000000
2018-01-01,30.9500000000000000
2018-07-01,30.6500000000000000
2019-01-01,30.7000000000000000
2019-07-01,30.6500000000000000
2020-01-01,30.0500000000000000
2020-07-01,31.2000000000000000
2021-01-01,32.1500000000000000
