Year,Total number of Billionaires,Combined wealth of,World's wealthiest,Wealthiest
2008,"1125",$4.4 trillion,Warren Buffett,$62 billion
2009,"793",$2.4 trillion,Bill Gates,$40 billion
2010,"1011",$3.6 trillion,Carlos Slim,$53.5 billion
2011,"1210",$4.5 trillion,Carlos Slim,$74 billion
2012,"1226",$4.6 trillion,Carlos Slim,$73 billion
2013,"1426",$5.4 trillion,Carlos Slim,$73 billion
2014,"1645",$6.4 trillion,Bill Gates,$78 billion
2015,"1826",$7.05 trillion,Bill Gates,$79.2 billion
2016,"1810",$6.48 trillion,Bill Gates,$75 billion
2017,"2043",$7.71 trillion,Jeff Bezos,$99.6 billion
2018,"2208","$9.1-$9.2 trillion,Jeff Bezos,$133 billion
2019,"2153",$8.6-$8.7 trillion,Jeff Bezos,$131 billion
2020,"2095",$10.2 trillion,Jeff Bezos,$188 billion
2021,"2674",.,Elon Musk,$244.2
