country,count,undergrad
India,1,yes
India,1,no
India,1,no
India,1,yes
India,1,no
India,1,yes
India,1,yes
India,1,yes
India,1,yes
India,1,no
United States,1,yes
United States,1,yes
United States,1,no
United States,1,yes
United States,1,no
United States,1,yes
United States,1,yes
United States,1,yes
United States,1,no
United States,1,yes
Germany,1,yes
Germany,1,no
Germany,1,yes
Germany,1,yes
Germany,1,yes
Germany,1,yes
Germany,1,yes
Germany,1,no
Germany,1,no
Germany,1,no
Germany,1,yes
Germany,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
Russia,1,yes
China,1,no
China,1,yes
China,1,yes
China,1,yes
China,1,yes
China,1,no
China,1,yes
China,1,yes
China,1,no
China,1,yes
China,1,yes
China,1,yes
